# r numerical exact
0.243479 0.190862 0.190862
0.244029 0.191188 0.191188
0.24458 0.191514 0.191514
0.24513 0.191839 0.191839
0.245681 0.192164 0.192164
0.246231 0.192489 0.192489
0.246782 0.192813 0.192814
0.247333 0.193137 0.193138
0.247884 0.193461 0.193461
0.248435 0.193784 0.193785
0.248987 0.194107 0.194108
0.249538 0.19443 0.19443
0.25009 0.194752 0.194753
0.250642 0.195074 0.195075
0.251194 0.195396 0.195397
0.251746 0.195718 0.195718
0.252298 0.196039 0.196039
0.252851 0.196359 0.19636
0.253403 0.19668 0.19668
0.253956 0.197 0.197
0.254509 0.19732 0.19732
0.255062 0.197639 0.19764
0.255615 0.197958 0.197959
0.256169 0.198277 0.198278
0.256722 0.198596 0.198596
0.257276 0.198914 0.198914
0.25783 0.199232 0.199232
0.258384 0.199549 0.19955
0.258938 0.199866 0.199867
0.259492 0.200183 0.200184
0.260047 0.2005 0.2005
0.260601 0.200816 0.200816
0.261156 0.201132 0.201132
0.261711 0.201447 0.201448
0.262266 0.201762 0.201763
0.262821 0.202077 0.202078
0.263377 0.202392 0.202392
0.263932 0.202706 0.202707
0.264488 0.20302 0.203021
0.265044 0.203334 0.203334
0.2656 0.203647 0.203648
0.266156 0.20396 0.20396
0.266712 0.204273 0.204273
0.267269 0.204585 0.204585
0.267825 0.204897 0.204897
0.268382 0.205209 0.205209
0.268939 0.20552 0.20552
0.269496 0.205831 0.205832
0.270053 0.206142 0.206142
0.270611 0.206452 0.206453
0.271168 0.206762 0.206763
0.271726 0.207072 0.207072
0.272284 0.207381 0.207382
0.272842 0.207691 0.207691
0.2734 0.207999 0.208
0.273959 0.208308 0.208308
0.274517 0.208616 0.208616
0.275076 0.208924 0.208924
0.275635 0.209231 0.209232
0.276194 0.209538 0.209539
0.276753 0.209845 0.209846
0.277313 0.210152 0.210152
0.277872 0.210458 0.210459
0.278432 0.210764 0.210764
0.278992 0.21107 0.21107
0.279552 0.211375 0.211375
0.280112 0.21168 0.21168
0.280672 0.211984 0.211985
0.281233 0.212289 0.212289
0.281793 0.212593 0.212593
0.282354 0.212896 0.212897
0.282915 0.2132 0.2132
0.283476 0.213503 0.213503
0.284038 0.213806 0.213806
0.284599 0.214108 0.214109
0.285161 0.21441 0.214411
0.285723 0.214712 0.214712
0.286285 0.215013 0.215014
0.286847 0.215315 0.215315
0.287409 0.215615 0.215616
0.287972 0.215916 0.215916
0.288535 0.216216 0.216217
0.289098 0.216516 0.216516
0.289661 0.216816 0.216816
0.290224 0.217115 0.217115
0.290787 0.217414 0.217414
0.291351 0.217712 0.217713
0.291914 0.218011 0.218011
0.292478 0.218309 0.218309
0.293042 0.218606 0.218607
0.293607 0.218904 0.218904
0.294171 0.219201 0.219201
0.294736 0.219497 0.219498
0.2953 0.219794 0.219794
0.295865 0.22009 0.220091
0.29643 0.220386 0.220386
0.296996 0.220681 0.220682
0.297561 0.220976 0.220977
0.298127 0.221271 0.221272
0.298693 0.221566 0.221566
0.299258 0.22186 0.221861
0.299825 0.222154 0.222155
0.300391 0.222448 0.222448
0.300957 0.222741 0.222741
0.301524 0.223034 0.223034
0.302091 0.223327 0.223327
0.302658 0.223619 0.223619
0.303225 0.223911 0.223911
0.303793 0.224203 0.224203
0.30436 0.224494 0.224495
0.304928 0.224785 0.224786
0.305496 0.225076 0.225076
0.306064 0.225366 0.225367
0.306632 0.225657 0.225657
0.307201 0.225946 0.225947
0.307769 0.226236 0.226237
0.308338 0.226525 0.226526
0.308907 0.226814 0.226815
0.309476 0.227103 0.227103
0.310046 0.227391 0.227392
0.310615 0.227679 0.22768
0.311185 0.227967 0.227967
0.311755 0.228254 0.228255
0.312325 0.228541 0.228542
0.312895 0.228828 0.228829
0.313466 0.229114 0.229115
0.314036 0.229401 0.229401
0.314607 0.229686 0.229687
0.315178 0.229972 0.229972
0.315749 0.230257 0.230258
0.316321 0.230542 0.230543
0.316892 0.230827 0.230827
0.317464 0.231111 0.231112
0.318036 0.231395 0.231395
0.318608 0.231679 0.231679
0.31918 0.231962 0.231963
0.319753 0.232245 0.232246
0.320325 0.232528 0.232528
0.320898 0.23281 0.232811
0.321471 0.233092 0.233093
0.322045 0.233374 0.233375
0.322618 0.233656 0.233656
0.323192 0.233937 0.233937
0.323766 0.234218 0.234218
0.32434 0.234498 0.234499
0.324914 0.234779 0.234779
0.325488 0.235059 0.235059
0.326063 0.235338 0.235339
0.326637 0.235618 0.235618
0.327212 0.235897 0.235897
0.327788 0.236176 0.236176
0.328363 0.236454 0.236455
0.328938 0.236732 0.236733
0.329514 0.23701 0.237011
0.33009 0.237288 0.237288
0.330666 0.237565 0.237565
0.331242 0.237842 0.237842
0.331819 0.238118 0.238119
0.332396 0.238395 0.238395
0.332973 0.238671 0.238671
0.33355 0.238946 0.238947
0.334127 0.239222 0.239222
0.334704 0.239497 0.239498
0.335282 0.239772 0.239772
0.33586 0.240046 0.240047
0.336438 0.24032 0.240321
0.337016 0.240594 0.240595
0.337595 0.240868 0.240869
0.338173 0.241141 0.241142
0.338752 0.241414 0.241415
0.339331 0.241687 0.241688
0.339911 0.241959 0.24196
0.34049 0.242231 0.242232
0.34107 0.242503 0.242504
0.34165 0.242775 0.242775
0.34223 0.243046 0.243046
0.34281 0.243317 0.243317
0.34339 0.243587 0.243588
0.343971 0.243857 0.243858
0.344552 0.244127 0.244128
0.345133 0.244397 0.244398
0.345714 0.244666 0.244667
0.346296 0.244935 0.244936
0.346877 0.245204 0.245205
0.347459 0.245473 0.245473
0.348041 0.245741 0.245741
0.348624 0.246009 0.246009
0.349206 0.246276 0.246277
0.349789 0.246543 0.246544
0.350372 0.24681 0.246811
0.350955 0.247077 0.247078
0.351538 0.247343 0.247344
0.352122 0.247609 0.24761
0.352705 0.247875 0.247876
0.353289 0.248141 0.248141
0.353874 0.248406 0.248406
0.354458 0.248671 0.248671
0.355042 0.248935 0.248936
0.355627 0.249199 0.2492
0.356212 0.249463 0.249464
0.356797 0.249727 0.249728
0.357383 0.24999 0.249991
0.357968 0.250253 0.250254
0.358554 0.250516 0.250517
0.35914 0.250779 0.250779
0.359727 0.251041 0.251041
0.360313 0.251303 0.251303
0.3609 0.251564 0.251565
0.361487 0.251825 0.251826
0.362074 0.252086 0.252087
0.362661 0.252347 0.252348
0.363249 0.252607 0.252608
0.363836 0.252867 0.252868
0.364424 0.253127 0.253128
0.365013 0.253387 0.253387
0.365601 0.253646 0.253647
0.36619 0.253905 0.253905
0.366778 0.254163 0.254164
0.367368 0.254422 0.254422
