# x u_numeric u_exact error_u uprime_numeric uprime_exact error_uprime
0.0040083537017563 0.00400834297519586 0.004008342968128976 7.066883536688273e-12 0.999991966561029 0.9999919665610568 -2.786659791809143e-14
0.004110362181564711 0.004110350614670507 0.004110350607426715 7.243791504130126e-12 0.9999915524732323 0.9999915524732617 -2.930988785010413e-14
0.004212370661328414 0.004212358211329247 0.004212358203908548 7.420698604210241e-12 0.9999911279797938 0.9999911279798246 -3.075317778211684e-14
0.004314379141064173 0.004314365764127382 0.004314365756529776 7.597605704290356e-12 0.9999906930807178 0.9999906930807501 -3.230749001659206e-14
0.004416387620782468 0.004416373272013927 0.004416373264239414 7.774513671732208e-12 0.9999902477760086 0.9999902477760425 -3.386180225106727e-14
0.004518396100489847 0.00451838073393397 0.004518380725982549 7.951420771812323e-12 0.9999897920656711 0.9999897920657066 -3.552713678800501e-14
0.004620404580190405 0.00462038814883014 0.004620388140701813 8.1283270045307e-12 0.9999893259497098 0.999989325949747 -3.719247132494274e-14
0.004722413059886699 0.004722395515643536 0.004722395507338303 8.305233237249077e-12 0.9999888494281297 0.9999888494281685 -3.874678355941796e-14
0.004824421539580327 0.004824402833314295 0.004824402824832155 8.482139469967453e-12 0.9999883625009357 0.9999883625009762 -4.052314039881821e-14
0.004926430019272291 0.004926410100781955 0.00492641009212291 8.659044835324092e-12 0.9999878651681329 0.9999878651681751 -4.218847493575595e-14
0.005028438498963213 0.00502841731698568 0.00502841730814973 8.835950200680731e-12 0.9999873574297263 0.9999873574297703 -4.39648317751562e-14
0.005130446978653485 0.005130424480864403 0.005130424471851547 9.01285556603737e-12 0.9999868392857214 0.9999868392857671 -4.574118861455645e-14
0.00523245545834335 0.005232431591356907 0.005232431582167145 9.189761798755747e-12 0.9999863107361234 0.9999863107361709 -4.75175454539567e-14
0.005334463938032961 0.005334438647401887 0.005334438638035221 9.366666296750648e-12 0.9999857717809379 0.9999857717809875 -4.951594689828198e-14
0.005436472417722413 0.00543644564793798 0.005436445638394409 9.543570794745548e-12 0.9999852224201706 0.9999852224202219 -5.129230373768223e-14
0.005538480897411766 0.005538452591903788 0.005538452582183313 9.720475292740449e-12 0.9999846626538271 0.9999846626538803 -5.3179682879545e-14
0.005640489377101056 0.005640459478237892 0.005640459468340514 9.897378923373612e-12 0.9999840924819132 0.9999840924819684 -5.517808432387028e-14
0.005742497856790308 0.005742466305878859 0.005742466295804577 1.007428255400677e-11 0.9999835119044349 0.9999835119044921 -5.717648576819556e-14
0.005844506336479536 0.005844473073765249 0.005844473063514064 1.02511853172782e-11 0.9999829209213982 0.9999829209214575 -5.928590951498336e-14
0.005946514816168749 0.005946479780835615 0.005946479770407526 1.042808894791136e-11 0.9999823195328092 0.9999823195328706 -6.139533326177116e-14
0.006048523295857952 0.006048486426028509 0.006048486415423517 1.060499171118279e-11 0.9999817077386743 0.9999817077387378 -6.350475700855895e-14
0.006150531775547149 0.006150493008282481 0.006150492997500586 1.078189447445421e-11 0.9999810855389998 0.9999810855390654 -6.561418075534675e-14
0.006252540255236342 0.006252499526536079 0.006252499515577282 1.09587963703639e-11 0.9999804529337921 0.99998045293386 -6.783462680459706e-14
0.006354548734925533 0.006354505979727853 0.006354505968592154 1.113569826627359e-11 0.9999798099230579 0.999979809923128 -7.005507285384738e-14
0.006456557214614723 0.006456512366796352 0.006456512355483753 1.131259929482153e-11 0.9999791565068038 0.9999791565068762 -7.238654120556021e-14
0.006558565694303913 0.006558518686680127 0.006558518675190627 1.148950032336948e-11 0.9999784926850367 0.9999784926851113 -7.460698725481052e-14
0.006660574173993101 0.006660524938317727 0.006660524926651326 1.166640048455569e-11 0.9999778184577633 0.9999778184578403 -7.693845560652335e-14
0.006762582653682289 0.006762531120647702 0.006762531108804402 1.184330064574191e-11 0.9999771338249909 0.9999771338250703 -7.938094626069869e-14
0.006864591133371477 0.006864537232608605 0.006864537220588404 1.202020080692812e-11 0.9999764387867264 0.9999764387868082 -8.182343691487404e-14
0.006966599613060664 0.006966543273138987 0.006966543260941886 1.219710096811433e-11 0.9999757333429772 0.9999757333430614 -8.426592756904938e-14
0.007068608092749852 0.0070685492411774 0.0070685492288034 1.23740002619388e-11 0.9999750174937505 0.9999750174938372 -8.670841822322473e-14
