# x g Fp gprime Fpprime gsecond Fpsecond Fp_antiderivative
0.83 -0.50211 -0.501595 0.854611 0.846423 12.1033 11.8416 -0.00886817
0.84 -0.49297 -0.492549 0.972319 0.961592 11.4346 11.1904 -0.0138399
0.85 -0.482687 -0.482385 1.08323 1.0702 10.7445 10.5294 -0.0187154
0.86 -0.471329 -0.471168 1.18715 1.17216 10.0365 9.86245 -0.023484
0.87 -0.458968 -0.458964 1.28391 1.26744 9.31368 9.19318 -0.0281355
0.88 -0.445675 -0.445841 1.37338 1.35603 8.57943 8.52486 -0.0326603
0.89 -0.431524 -0.431866 1.45547 1.43795 7.83692 7.8605 -0.0370495
0.9 -0.41659 -0.417104 1.53011 1.51326 7.08931 7.20276 -0.041295
0.91 -0.400947 -0.401622 1.59725 1.58203 6.33968 6.55398 -0.0453892
0.92 -0.38467 -0.385485 1.6569 1.64438 5.59103 5.91612 -0.0493252
0.93 -0.367834 -0.368756 1.70909 1.7004 4.84628 5.29082 -0.0530969
0.94 -0.350513 -0.351498 1.75385 1.75024 4.10823 4.67936 -0.0566986
0.95 -0.332782 -0.333771 1.79128 1.79404 3.37957 4.08269 -0.0601253
0.96 -0.314712 -0.315637 1.82148 1.83194 2.66288 3.50144 -0.0633726
0.97 -0.296376 -0.297152 1.84459 1.86412 1.96058 2.93599 -0.0664368
0.98 -0.277843 -0.278373 1.86075 1.89072 1.27499 2.38642 -0.0693147
0.99 -0.259183 -0.259355 1.87015 1.9119 0.608253 1.85262 -0.0720035
1 -0.240462 -0.240152 1.87298 1.92782 -0.0376144 1.33429 -0.0745012
