# Newtonian circular orbit
# eps = 0
# phi u u_prime x y
4.272566008882118 1 0 -0.4257792915650729 -0.9048270524660194
4.303981935418016 1 0 -0.3971478906347811 -0.9177546256839809
4.335397861953915 1 0 -0.3681245526846778 -0.9297764858882515
4.366813788489813 1 0 -0.3387379202452914 -0.9408807689542255
4.39822971502571 1 0 -0.3090169943749476 -0.9510565162951535
4.429645641561608 1 0 -0.2789911060392296 -0.960293685676943
4.461061568097506 1 0 -0.2486898871648553 -0.968583161128631
4.492477494633405 1 0 -0.2181432413965424 -0.9759167619387474
4.523893421169302 1 0 -0.1873813145857246 -0.9822872507286887
4.5553093477052 1 0 -0.1564344650402311 -0.9876883405951377
4.586725274241099 1 0 -0.1253332335643037 -0.9921147013144779
4.618141200776996 1 0 -0.09410831331851485 -0.99556196460308
4.649557127312893 1 0 -0.06279051952931408 -0.9980267284282716
4.680973053848792 1 0 -0.03141075907812829 -0.9995065603657316
4.71238898038469 1 0 -1.83697019872103e-16 -1
4.743804906920587 1 0 0.03141075907812794 -0.9995065603657316
4.775220833456486 1 0 0.06279051952931372 -0.9980267284282716
4.806636759992383 1 0 0.0941083133185136 -0.9955619646030801
4.838052686528282 1 0 0.1253332335643042 -0.9921147013144779
4.869468613064179 1 0 0.1564344650402307 -0.9876883405951378
4.900884539600077 1 0 0.1873813145857243 -0.9822872507286887
4.932300466135976 1 0 0.2181432413965429 -0.9759167619387473
4.963716392671873 1 0 0.248689887164855 -0.9685831611286311
4.99513231920777 1 0 0.2789911060392284 -0.9602936856769433
5.026548245743669 1 0 0.3090169943749472 -0.9510565162951536
5.057964172279567 1 0 0.338737920245291 -0.9408807689542256
5.089380098815464 1 0 0.3681245526846775 -0.9297764858882516
5.120796025351363 1 0 0.3971478906347808 -0.917754625683981
5.152211951887261 1 0 0.4257792915650727 -0.9048270524660196
5.183627878423159 1 0 0.4539904997395466 -0.8910065241883679
5.215043804959056 1 0 0.4817536741017149 -0.8763066800438638
5.246459731494954 1 0 0.5090414157503708 -0.860742027003944
5.277875658030853 1 0 0.5358267949789967 -0.844327925502015
5.309291584566751 1 0 0.5620833778521306 -0.8270805742745618
5.340707511102648 1 0 0.5877852522924729 -0.8090169943749476
5.372123437638546 1 0 0.6129070536529762 -0.7901550123756906
5.403539364174444 1 0 0.6374239897486893 -0.7705132427757896
5.434955290710342 1 0 0.6613118653236519 -0.7501110696304595
5.46637121724624 1 0 0.6845471059286886 -0.7289686274214116
5.497787143782138 1 0 0.7071067811865474 -0.7071067811865477
5.529203070318037 1 0 0.7289686274214119 -0.6845471059286883
5.560618996853933 1 0 0.7501110696304591 -0.6613118653236523
5.592034923389831 1 0 0.7705132427757888 -0.6374239897486903
5.62345084992573 1 0 0.7901550123756904 -0.6129070536529765
5.654866776461628 1 0 0.8090169943749473 -0.5877852522924732
5.686282702997525 1 0 0.8270805742745616 -0.5620833778521309
5.717698629533424 1 0 0.8443279255020153 -0.5358267949789963
5.749114556069321 1 0 0.8607420270039433 -0.509041415750372
5.78053048260522 1 0 0.8763066800438636 -0.4817536741017153
5.811946409141117 1 0 0.8910065241883678 -0.453990499739547
5.843362335677015 1 0 0.9048270524660194 -0.425779291565073
5.874778262212914 1 0 0.9177546256839813 -0.3971478906347803
5.906194188748811 1 0 0.9297764858882515 -0.3681245526846778
5.937610115284708 1 0 0.9408807689542251 -0.3387379202452923
5.969026041820607 1 0 0.9510565162951535 -0.3090169943749476
