# r f1_num f1_exact f2_num f2_exact f3_num f3_exact
4.3 0.1168181738 0.1166896075 -0.4729998255 -0.4073035187 -0.3170386038 -0.1962079334
4.35 0.1124146971 0.1122892695 -0.4760317998 -0.4106025362 -0.3045056492 -0.195717793
4.4 0.1081628691 0.1080405911 -0.4787850463 -0.4136862294 -0.2914835058 -0.1950570618
4.45 0.1040583666 0.103939246 -0.4812642067 -0.4165583838 -0.2779969008 -0.194228863
4.5 0.1000969278 0.09998096884 -0.4834740066 -0.4192228486 -0.2640708739 -0.193236387
4.55 0.09627435587 0.09616155989 -0.485419245 -0.4216835285 -0.2497307343 -0.1920828853
4.6 0.09258652327 0.09247688885 -0.4871047845 -0.4239443755 -0.2350020193 -0.1907716639
4.65 0.08902937463 0.08892289795 -0.4885355416 -0.4260093812 -0.2199104534 -0.1893060778
4.7 0.08559892964 0.08549560476 -0.4897164778 -0.4278825705 -0.2044819087 -0.1876895249
4.75 0.08229128539 0.08219110443 -0.4906525911 -0.4295679937 -0.1887423662 -0.1859254409
4.8 0.07910261822 0.07900557167 -0.4913489078 -0.4310697212 -0.1727178778 -0.1840172942
4.85 0.0760291853 0.07593526223 -0.4918104754 -0.4323918371 -0.1564345297 -0.1819685807
4.9 0.07306732581 0.0729765141 -0.4920423547 -0.4335384332 -0.1399184063 -0.179782819
4.95 0.07021346184 0.0701257484 -0.4920496135 -0.4345136046 -0.1231955556 -0.1774635463
5 0.06746409901 0.06737946999 -0.4918373203 -0.4353214437 -0.1062919552 -0.1750143138
5.05 0.06481582679 0.06473426781 -0.4914105377 -0.4359660364 -0.0892334792 -0.1724386826
5.1 0.06226531867 0.06218681497 -0.4907743173 -0.436451457 -0.07204586672 -0.1697402198
5.15 0.05980933201 0.05973386869 -0.4899336942 -0.4367817645 -0.05475469057 -0.1669224949
5.2 0.05744470781 0.05737226998 -0.4888936819 -0.4369609988 -0.03738532744 -0.1639890764
5.25 0.05516837023 0.05509894319 -0.4876592676 -0.4369931767 -0.01996292892 -0.160943528
5.3 0.05297732597 0.05291089541 -0.4862354078 -0.436882289 -0.002512393509 -0.1577894056
5.35 0.05086866355 0.05080521569 -0.4846270245 -0.4366322968 0.01494166045 -0.1545302546
5.4 0.04883955241 0.04877907418 -0.4828390007 -0.4362471294 0.03237492075 -0.1511696065
5.45 0.04688724194 0.04682972113 -0.4808761777 -0.4357306808 0.04976340646 -0.1477109764
5.5 0.04500906041 0.04495448582 -0.4787433508 -0.4350868076 0.06708349198 -0.1441578608
5.55 0.04320241381 0.0431507754 -0.476445267 -0.4343193267 0.08431193022 -0.1405137345
5.6 0.04146478456 0.04141607362 -0.4739866216 -0.4334320131 0.1014258748 -0.1367820486
5.65 0.03979373028 0.03974793956 -0.4713720558 -0.4324285978 0.1184029011 -0.1329662286
5.7 0.0381868824 0.03814400622 -0.4686061541 -0.4313127662 0.1352210269 -0.1290696719
5.75 0.03664194471 0.03660197916 -0.4656934423 -0.4300881566 0.1518587314 -0.1250957463
5.8 0.03515669202 0.03511963505 -0.4626383851 -0.4287583581 0.1682949738 -0.1210477879
5.85 0.03372896856 0.03369482015 -0.4594453844 -0.4273269101 0.1845092106 -0.1169290993
5.9 0.03235668659 0.03232544886 -0.4561187774 -0.4257973003 0.2004814125 -0.1127429487
5.95 0.0310378248 0.03100950217 -0.4526628354 -0.4241729643 0.2161920794 -0.1084925675
6 0.02977042681 0.02974502612 -0.4490817618 -0.4224572839 0.2316222561 -0.1041811496
6.05 0.02855259963 0.02853013028 -0.4453796914 -0.420653587 0.246753545 -0.09981185
6.1 0.0273825121 0.02736298618 -0.4415606891 -0.4187651464 0.2615681202 -0.09538778333
6.15 0.02625839334 0.02624182577 -0.4376287487 -0.4167951792 0.2760487386 -0.09091202303
6.2 0.02517853119 0.02516493989 -0.4335877923 -0.4147468464 0.2901787518 -0.08638760026
6.25 0.02414127072 0.0241306767 -0.4294416692 -0.4126232524 0.3039421159 -0.08181750295
6.3 0.02314501265 0.02313744019 -0.4251941558 -0.4104274445 0.3173234015 -0.07720467498
6.35 0.02218821184 0.02218368863 -0.4208489545 -0.4081624129 0.3303078021 -0.07255201542
6.4 0.02126937583 0.0212679331 -0.4164096936 -0.4058310904 0.3428811418 -0.06786237777
6.45 0.02038706328 0.02038873598 -0.4118799268 -0.4034363519 0.3550298828 -0.0631385694
6.5 0.01953988258 0.01954470951 -0.4072631331 -0.4009810149 0.3667411309 -0.05838335097
6.55 0.01872649034 0.01873451434 -0.4025627165 -0.3984678394 0.3780026417 -0.05359943589
6.6 0.01794559 0.0179568581 -0.397782006 -0.3958995275 0.3888028247 -0.04878948994
6.65 0.01719593042 0.017210494 -0.3929242555 -0.3932787242 0.3991307475 -0.04395613086
6.7 0.01647630449 0.0164942195 -0.387992644 -0.3906080171 0.4089761387 -0.03910192804
